user_id,age,country,favorite_genres,genre_weights
7888537d-1200-48d0-ae0b-feda2a3ec9af,54,Germany,"[""indie"", ""reggaeton"", ""ambient""]","{""indie"": 0.4923, ""reggaeton"": 0.2209, ""ambient"": 0.1945, ""rock-n-roll"": 0.0328, ""hardstyle"": 0.0142, ""classical"": 0.0453}"
5d47ca90-01e6-4da8-8cf5-5e62310abc64,21,UK,"[""latin""]","{""latin"": 0.8359, ""samba"": 0.0203, ""dub"": 0.0772, ""punk"": 0.0666}"
9ddf9759-26de-47d2-b288-608631774f6e,27,Australia,"[""edm"", ""pagode""]","{""edm"": 0.6213, ""pagode"": 0.2933, ""folk"": 0.0215, ""disco"": 0.0297, ""dubstep"": 0.0119, ""hip-hop"": 0.0223}"
d3a45260-d208-4520-bedb-48f614e6b976,35,UK,"[""romance"", ""gospel""]","{""romance"": 0.5879, ""gospel"": 0.2668, ""groove"": 0.0276, ""breakbeat"": 0.0564, ""edm"": 0.039, ""malay"": 0.0222}"
e57f49ea-bc47-41c9-94d6-8cdb5ba47136,37,France,"[""black-metal""]","{""black-metal"": 0.7922, ""iranian"": 0.0419, ""songwriter"": 0.0663, ""electronic"": 0.0304, ""goth"": 0.0692}"
1f90b6df-1ebd-4575-861e-f5a68c1c61ea,41,Japan,"[""gospel""]","{""gospel"": 0.8939, ""rock"": 0.0613, ""folk"": 0.0448}"
f9312aa0-8222-4ce5-bf14-9b59bf1f1ad4,54,UK,"[""grindcore"", ""j-pop""]","{""grindcore"": 0.5561, ""j-pop"": 0.3144, ""hip-hop"": 0.0419, ""rock"": 0.0365, ""black-metal"": 0.0512}"
a5a621f0-8d97-460a-ab95-4ca00100ed50,48,Mexico,"[""hardcore""]","{""hardcore"": 0.7845, ""grindcore"": 0.0583, ""hip-hop"": 0.0598, ""indian"": 0.0595, ""goth"": 0.0379}"
7fc45d28-c597-4c05-9f4a-e46bc377102c,27,India,"[""samba"", ""funk"", ""breakbeat""]","{""samba"": 0.5341, ""funk"": 0.2337, ""breakbeat"": 0.1783, ""edm"": 0.0403, ""country"": 0.0137}"
8cff78ff-b6f0-45a1-9cbb-60fae4a5bcb7,46,Japan,"[""electro""]","{""electro"": 0.8482, ""dub"": 0.0711, ""psych-rock"": 0.0807}"
